date,K_t,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,p_g0,p_g1,p_g2,p_g3,p_g4,p_g5,dominant_regime
2025-12-10,2,0.0001781267178347036,1.6569801086774305e-12,1.9230769245684103,0.0,0.5999999989917543,0.0,0.0,0.4000000010082459,0.9901514118403638,0.0098485881596362,0.0,0.0,0.0,0.0,0
2025-12-11,2,-0.002246405874233095,6.557920873007106e-12,1.9230769245587094,0.0,0.5999999989983121,0.0,0.0,0.4000000010016879,0.9902343353200502,0.009765664679949852,0.0,0.0,0.0,0.0,0
2025-12-12,2,-0.005238260749641599,2.1108198522412636e-11,1.9230769245274844,0.0,0.5999999990194204,0.0,0.0,0.40000000098057975,0.991242010082644,0.008757989917355978,0.0,0.0,0.0,0.0,0
2025-12-15,2,0.00012577298201504422,8.706646514866634e-13,1.9230769245261967,0.0,0.599999999020291,0.0,0.0,0.40000000097970906,0.9912463572748309,0.008753642725169129,0.0,0.0,0.0,0.0,0
2025-12-16,2,0.0028562304140622905,2.5750235277399725e-12,1.923076924530006,0.0,0.599999999017716,0.0,0.0,0.40000000098228405,0.9912709299403106,0.008729070059689372,0.0,0.0,0.0,0.0,0
2025-12-17,2,0.00031287496207882496,7.59767249114418e-12,1.9230769245412456,0.0,0.5999999990101182,0.0,0.0,0.4000000009898817,0.9910798645101664,0.008920135489833609,0.0,0.0,0.0,0.0,0
2025-12-18,2,0.003149413750207018,6.676881270095691e-13,1.923076924542233,0.0,0.5999999990094506,0.0,0.0,0.4000000009905494,0.99125529658321,0.008744703416790012,0.0,0.0,0.0,0.0,0
2025-12-19,2,-0.0009590864133926704,7.34984295647223e-12,1.923076924553105,0.0,0.5999999990021008,0.0,0.0,0.4000000009978993,0.9910242004744862,0.008975799525513774,0.0,0.0,0.0,0.0,0
2025-12-22,2,-0.002972266036880798,4.38676872605015e-13,1.9230769245524566,0.0,0.5999999990025394,0.0,0.0,0.4000000009974606,0.9912434641270086,0.00875653587299142,0.0,0.0,0.0,0.0,0
2025-12-23,2,-0.0003733393684064915,5.351857845781183e-12,1.9230769245603732,0.0,0.5999999989971876,0.0,0.0,0.40000000100281247,0.9911205292813058,0.00887947071869419,0.0,0.0,0.0,0.0,0
2025-12-24,2,0.003771772121174569,4.9974829829935175e-11,1.9230769246343002,0.0,0.5999999989472128,0.0,0.0,0.4000000010527873,0.9896235100708769,0.010376489929123059,0.0,0.0,0.0,0.0,0
