date,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD
2025-09-17,-0.0009706390782433516,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-18,0.0047776878367074005,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-19,0.00487352393748175,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-22,0.004400350714762524,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-23,-0.005517351828739692,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-24,-0.002850677165294968,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-25,-0.005021648742527418,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-26,0.005884489130414394,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-29,0.0026320772599124354,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-09-30,0.004082503613506816,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-01,0.0033941541712234624,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-02,0.0006181636213842268,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-03,6.551065686721813e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-06,0.003639959282761396,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-07,-0.0038186877068522307,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-08,0.005810748494187834,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-09,-0.002759373980278923,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-10,-0.027485975439899946,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-13,0.01547826303693256,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-14,-0.0015655514969417084,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-15,0.0040179185034272535,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-16,-0.006314280275141471,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-17,0.005256873944526674,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-20,0.010615724136144422,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-21,3.269591641696934e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-22,-0.00535183477474277,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-23,0.005810479862011775,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-24,0.00787136197524596,0.0,1.0,1.0,0.0,0.0,0.0,0.0
